Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
MMM,3M Company,Industrials,"St. Paul, Minnesota",St. Paul,Minnesota,MN,44.9497487,-93.0931028
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois",North Chicago,Illinois,IL,42.325578,-87.8411818
ABBV,AbbVie,Health Care,"North Chicago, Illinois",North Chicago,Illinois,IL,42.325578,-87.8411818
ATVI,Activision Blizzard,Information Technology,"Santa Monica, California",Santa Monica,California,CA,34.0194704,-118.4912273
AYI,Acuity Brands Inc,Industrials,"Atlanta, Georgia",Atlanta,Georgia,GA,33.7489924,-84.3902644
ADBE,Adobe Systems Inc,Information Technology,"San Jose, California",San Jose,California,CA,37.3361663,-121.890591
AAP,Advance Auto Parts,Consumer Discretionary,"Roanoke, Virginia",Roanoke,Virginia,VA,37.270973,-79.9414313
AES,AES Corp,Utilities,"Arlington, Virginia",Arlington,Virginia,VA,38.8903961,-77.0841585
AET,Aetna Inc,Health Care,"Hartford, Connecticut",Hartford,Connecticut,CT,41.764582,-72.6908547
AMG,Affiliated Managers Group Inc,Financials,"Beverly, Massachusetts",Beverly,Massachusetts,MA,42.5584284,-70.8800491
AFL,AFLAC Inc,Financials,"Columbus, Georgia",Columbus,Georgia,GA,32.4610708,-84.9880449
A,Agilent Technologies Inc,Health Care,"Santa Clara, California",Santa Clara,California,CA,37.2333253,-121.6846349
APD,Air Products & Chemicals Inc,Materials,"Allentown, Pennsylvania",Allentown,Pennsylvania,PA,40.6022059,-75.4712794
AKAM,Akamai Technologies Inc,Information Technology,"Cambridge, Massachusetts",Cambridge,Massachusetts,MA,42.3750997,-71.1056157
ALK,Alaska Air Group Inc,Industrials,"Seattle, Washington",Seattle,Washington,WA,47.6038321,-122.330062
ALB,Albemarle Corp,Materials,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,LA,30.4507936,-91.1391153
ALXN,Alexion Pharmaceuticals,Health Care,"Cheshire, Connecticut",Cheshire,Connecticut,CT,41.4989861,-72.900658
ADS,Alliance Data Systems,Information Technology,"Plano, Texas",Plano,Texas,TX,33.0136764,-96.6925096
LNT,Alliant Energy Corp,Utilities,"Madison, Wisconsin",Madison,Wisconsin,WI,43.074761,-89.3837613
ALL,Allstate Corp,Financials,"Northfield Township, Illinois",Northfield Township,Illinois,IL,42.1091052,-87.8293188
GOOGL,Alphabet Inc Class A,Information Technology,"Mountain View, California",Mountain View,California,CA,37.3893889,-122.0832101
GOOG,Alphabet Inc Class C,Information Technology,"Mountain View, California",Mountain View,California,CA,37.3893889,-122.0832101
MO,Altria Group Inc,Consumer Staples,"Richmond, Virginia",Richmond,Virginia,VA,37.5385087,-77.43428
AMZN,Amazon.com Inc,Consumer Discretionary,"Seattle, Washington",Seattle,Washington,WA,47.6038321,-122.330062
AEE,Ameren Corp,Utilities,"St. Louis, Missouri",St. Louis,Missouri,MO,38.6312667,-90.2353056
AAL,American Airlines Group,Industrials,"Fort Worth, Texas",Fort Worth,Texas,TX,32.753177,-97.3327459
AEP,American Electric Power,Utilities,"Columbus, Ohio",Columbus,Ohio,OH,39.9622601,-83.0007065
AXP,American Express Co,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
AIG,"American International Group, Inc.",Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
AMT,American Tower Corp A,Real Estate,"Boston, Massachusetts",Boston,Massachusetts,MA,42.3602534,-71.0582912
AWK,American Water Works Company Inc,Utilities,"Voorhees, New Jersey",Voorhees,New Jersey,NJ,39.8512162,-74.9619779
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",Minneapolis,Minnesota,MN,44.9772995,-93.2654692
ABC,AmerisourceBergen Corp,Health Care,"Chesterbrook, Pennsylvania",Chesterbrook,Pennsylvania,PA,40.705896,-78.003616
AME,AMETEK Inc,Industrials,"Berwyn, Pennsylvania",Berwyn,Pennsylvania,PA,40.0448306,-75.4388053
AMGN,Amgen Inc,Health Care,"Thousand Oaks, California",Thousand Oaks,California,CA,34.1705609,-118.8375937
